"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"808f420d00ca4a94bb7e23d1647f041c","k__Bacteria"," p__Bacteroidetes"," c__Flavobacteriia"," o__Flavobacteriales"," f__Flavobacteriaceae"," g__Flavobacterium"," s__succinicans"
"05d121af705449a862a631b563bb14e9","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales","f__","g__","s__"
"b537489a41a98557832638649d484d7c","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Sphingomonadales"," f__Sphingomonadaceae"," g__Sphingomonas"," s__wittichii"
"0e5671df3717b399d0db5163dd5a3b88","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales","f__","g__","s__"
"712197da402dfe1b78ac4ac69960362f","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Actinomycetaceae"," g__Actinomyces"," s__"
"56e49ff6a05e217d46b41fff3620a9df","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," g__Paracoccus","s__"
"8bebfebbe453c3285e68447d6a7674ec","k__Bacteria"," p__Bacteroidetes"," c__Flavobacteriia"," o__Flavobacteriales"," f__Flavobacteriaceae"," g__Salegentibacter"," s__"
"2147577f4dccd3a8d4991e2d03525321","k__Bacteria"," p__Bacteroidetes"," c__Cytophagia"," o__Cytophagales"," f__Cytophagaceae"," g__Dyadobacter"," s__"
"827dd6ed33f0cf226fed6c6273f2eb6e","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__Burkholderiales"," f__Oxalobacteraceae","g__","s__"
"250b0c3dbec635275822311fc3e148a0","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae","g__","s__"
"43f79f4e6d239cc196c3fa66907ae469","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae","g__","s__"
"a5e80f0a2170551094dc27c9a61291fb","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales","f__","g__","s__"
"7731b64d02d35c51b834fd238e86c856","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides","s__"
"b7a9cc4b71529a1f96e8e3a0c60a38c3","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Propionibacteriaceae"," g__"," s__"
"42c5b6247baee401412d0c559bd36e15","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Sphingomonadales"," f__Erythrobacteraceae","g__","s__"
"bbc6e9615e67d6fce2c5c390d3dfd029","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas"," s__cuatrocienegasensis"
"a2df29ae49a07eef95d8e3542f84c545","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Sphingomonadales"," f__Sphingomonadaceae"," g__Sphingobium"," s__"
"87e1d76db2e87209d342076b34111197","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Sphingomonadales","f__","g__","s__"
"9ec2d827f06d999e1350f11e5c07ab17","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae","g__","s__"
"1af6022cd0fa9133dada6f4c5e36b847","k__Bacteria","p__","c__","o__","f__","g__","s__"
"8dc513a1ec2696416e6ea3c2966a6064","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Microbacteriaceae","g__","s__"
"79b78e5bbd7b4611f349b965cc61c671","k__Bacteria","p__","c__","o__","f__","g__","s__"
"ce9cfc017d345020238d280125b0e4a7","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Rikenellaceae"," g__"," s__"
"b5ea6707f85c35c9ddcf955d3fae51c4","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Methylobacteriaceae"," g__Methylobacterium","s__"
"ce1948816285fe9d88f78288e95a9357","k__Bacteria"," p__Cyanobacteria"," c__Chloroplast"," o__Streptophyta"," f__"," g__"," s__"
"9f48f730dc989ae38a6d529dba7118bc","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__Burkholderiales"," f__Oxalobacteraceae","g__","s__"
